,Billboard Chart Date,Title,Artist,Year,Spotify Song ID,Spotify Popularity Rating,Number of Weeks In Top 100
45,2019-02-02,7 Rings,Ariana Grande,2019,6ocbgoVGwYJhOv1GgI9NsF,91.0,1
46,2019-01-26,Without Me,Halsey,2019,6Zc5f20q7sOe1IC1c1jQvZ,74.0,15
47,2019-01-19,Sunflower (Spider-Man: Into The Spider-Verse),Post Malone & Swae Lee,2019,0RiRZpuVRbi7oqRdSMwhQY,88.0,12
48,2019-01-12,Without Me,Halsey,2019,6Zc5f20q7sOe1IC1c1jQvZ,74.0,13
49,2019-01-05,"Thank U, Next",Ariana Grande,2019,3e9HZxeyfWwjeyPAMmWSSQ,89.0,8
50,2018-12-29,"Thank U, Next",Ariana Grande,2018,4SPu0Ql902hTVXkBoNIYtq,61.0,7
51,2018-12-22,"Thank U, Next",Ariana Grande,2018,4SPu0Ql902hTVXkBoNIYtq,61.0,6
52,2018-12-15,"Thank U, Next",Ariana Grande,2018,4SPu0Ql902hTVXkBoNIYtq,61.0,5
53,2018-12-08,Sicko Mode,Travis Scott,2018,2xLMifQCjDGFmkHkpNLD9h,89.0,17
54,2018-12-01,"Thank U, Next",Ariana Grande,2018,4SPu0Ql902hTVXkBoNIYtq,61.0,3
55,2018-11-24,"Thank U, Next",Ariana Grande,2018,4SPu0Ql902hTVXkBoNIYtq,61.0,2
56,2018-11-17,"Thank U, Next",Ariana Grande,2018,4SPu0Ql902hTVXkBoNIYtq,61.0,1
57,2018-11-10,Girls Like You,Maroon 5 Featuring Cardi B,2018,6V1bu6o1Yo5ZXnsCJU8Ovk,74.0,23
58,2018-11-03,Girls Like You,Maroon 5 Featuring Cardi B,2018,6V1bu6o1Yo5ZXnsCJU8Ovk,74.0,22
59,2018-10-27,Girls Like You,Maroon 5 Featuring Cardi B,2018,6V1bu6o1Yo5ZXnsCJU8Ovk,74.0,21
60,2018-10-20,Girls Like You,Maroon 5 Featuring Cardi B,2018,6V1bu6o1Yo5ZXnsCJU8Ovk,74.0,20
61,2018-10-13,Girls Like You,Maroon 5 Featuring Cardi B,2018,6V1bu6o1Yo5ZXnsCJU8Ovk,74.0,19
62,2018-10-06,Girls Like You,Maroon 5 Featuring Cardi B,2018,6V1bu6o1Yo5ZXnsCJU8Ovk,74.0,18
63,2018-09-29,Girls Like You,Maroon 5 Featuring Cardi B,2018,6V1bu6o1Yo5ZXnsCJU8Ovk,74.0,17
64,2018-09-22,In My Feelings,Drake,2018,2G7V7zsVDxg1yRsu7Ew9RJ,84.0,11
65,2018-09-15,In My Feelings,Drake,2018,2G7V7zsVDxg1yRsu7Ew9RJ,84.0,10
66,2018-09-08,In My Feelings,Drake,2018,2G7V7zsVDxg1yRsu7Ew9RJ,84.0,9
67,2018-09-01,In My Feelings,Drake,2018,2G7V7zsVDxg1yRsu7Ew9RJ,84.0,8
68,2018-08-25,In My Feelings,Drake,2018,2G7V7zsVDxg1yRsu7Ew9RJ,84.0,7
69,2018-08-18,In My Feelings,Drake,2018,2G7V7zsVDxg1yRsu7Ew9RJ,84.0,6
70,2018-08-11,In My Feelings,Drake,2018,2G7V7zsVDxg1yRsu7Ew9RJ,84.0,5
71,2018-08-04,In My Feelings,Drake,2018,2G7V7zsVDxg1yRsu7Ew9RJ,84.0,4
72,2018-07-28,In My Feelings,Drake,2018,2G7V7zsVDxg1yRsu7Ew9RJ,84.0,3
73,2018-07-21,In My Feelings,Drake,2018,2G7V7zsVDxg1yRsu7Ew9RJ,84.0,2
74,2018-07-14,Nice For What,Drake,2018,3CA9pLiwRIGtUBiMjbZmRw,82.0,13
75,2018-07-07,I Like It,"Cardi B, Bad Bunny & J Balvin",2018,58q2HKrzhC3ozto2nDdN4z,85.0,12
76,2018-06-30,Sad!,XXXTENTACION,2018,3ee8Jmje8o58CHK66QrVC2,88.0,16
77,2018-06-23,Nice For What,Drake,2018,3CA9pLiwRIGtUBiMjbZmRw,82.0,10
78,2018-06-16,Psycho,Post Malone Featuring Ty Dolla $ign,2018,2xLMifQCjDGFmkHkpNLD9h,89.0,15
79,2018-06-09,Nice For What,Drake,2018,3CA9pLiwRIGtUBiMjbZmRw,82.0,8
80,2018-06-02,Nice For What,Drake,2018,3CA9pLiwRIGtUBiMjbZmRw,82.0,7
81,2018-05-26,This Is America,Childish Gambino,2018,0b9oOr2ZgvyQu88wzixux9,77.0,2
82,2018-05-19,This Is America,Childish Gambino,2018,0b9oOr2ZgvyQu88wzixux9,77.0,1
83,2018-05-12,Nice For What,Drake,2018,3CA9pLiwRIGtUBiMjbZmRw,82.0,4
84,2018-05-05,Nice For What,Drake,2018,3CA9pLiwRIGtUBiMjbZmRw,82.0,3
85,2018-04-28,Nice For What,Drake,2018,3CA9pLiwRIGtUBiMjbZmRw,82.0,2
86,2018-04-21,Nice For What,Drake,2018,3CA9pLiwRIGtUBiMjbZmRw,82.0,1
87,2018-04-14,God's Plan,Drake,2018,6DCZcSspjsKoFjzjrWoCdn,86.0,11
88,2018-04-07,God's Plan,Drake,2018,6DCZcSspjsKoFjzjrWoCdn,86.0,10
89,2018-03-31,God's Plan,Drake,2018,6DCZcSspjsKoFjzjrWoCdn,86.0,9
90,2018-03-24,God's Plan,Drake,2018,6DCZcSspjsKoFjzjrWoCdn,86.0,8
91,2018-03-17,God's Plan,Drake,2018,6DCZcSspjsKoFjzjrWoCdn,86.0,7
92,2018-03-10,God's Plan,Drake,2018,6DCZcSspjsKoFjzjrWoCdn,86.0,6
93,2018-03-03,God's Plan,Drake,2018,6DCZcSspjsKoFjzjrWoCdn,86.0,5
94,2018-02-24,God's Plan,Drake,2018,6DCZcSspjsKoFjzjrWoCdn,86.0,4
95,2018-02-17,God's Plan,Drake,2018,6DCZcSspjsKoFjzjrWoCdn,86.0,3
96,2018-02-10,God's Plan,Drake,2018,6DCZcSspjsKoFjzjrWoCdn,86.0,2
97,2018-02-03,God's Plan,Drake,2018,6DCZcSspjsKoFjzjrWoCdn,86.0,1
98,2018-01-27,Havana,Camila Cabello Featuring Young Thug,2018,1rfofaqEpACxVEHIZBJe6W,86.0,23
99,2018-01-20,Perfect,Ed Sheeran,2018,0DC7Zs2qvAbNK1owWQ4mlL,77.0,20
100,2018-01-13,Perfect,Ed Sheeran,2018,0DC7Zs2qvAbNK1owWQ4mlL,77.0,19
101,2018-01-06,Perfect,Ed Sheeran,2018,0DC7Zs2qvAbNK1owWQ4mlL,77.0,18
102,2018-01-03,Perfect,Ed Sheeran,2018,0DC7Zs2qvAbNK1owWQ4mlL,77.0,17
103,2017-12-30,Perfect,Ed Sheeran,2017,0tgVpDi06FyKpA1z0VMD4v,88.0,16
104,2018-01-13,Perfect,Ed Sheeran,2018,0DC7Zs2qvAbNK1owWQ4mlL,77.0,19
105,2018-01-06,Perfect,Ed Sheeran,2018,0DC7Zs2qvAbNK1owWQ4mlL,77.0,18
106,2018-01-03,Perfect,Ed Sheeran,2018,0DC7Zs2qvAbNK1owWQ4mlL,77.0,17
107,2017-12-30,Perfect,Ed Sheeran,2017,0tgVpDi06FyKpA1z0VMD4v,88.0,16
108,2017-12-23,Perfect,Ed Sheeran,2017,0tgVpDi06FyKpA1z0VMD4v,88.0,15
109,2017-12-16,Rockstar,Post Malone Featuring 21 Savage,2017,4fy6HNnu1XXq2j1Y56EP2H,58.0,11
110,2017-12-09,Rockstar,Post Malone Featuring 21 Savage,2017,4fy6HNnu1XXq2j1Y56EP2H,58.0,10
111,2017-12-02,Rockstar,Post Malone Featuring 21 Savage,2017,4fy6HNnu1XXq2j1Y56EP2H,58.0,9
112,2017-11-25,Rockstar,Post Malone Featuring 21 Savage,2017,4fy6HNnu1XXq2j1Y56EP2H,58.0,8
113,2017-11-18,Rockstar,Post Malone Featuring 21 Savage,2017,4fy6HNnu1XXq2j1Y56EP2H,58.0,7
114,2017-11-11,Rockstar,Post Malone Featuring 21 Savage,2017,4fy6HNnu1XXq2j1Y56EP2H,58.0,6
115,2017-11-04,Rockstar,Post Malone Featuring 21 Savage,2017,4fy6HNnu1XXq2j1Y56EP2H,58.0,5
116,2017-10-28,Rockstar,Post Malone Featuring 21 Savage,2017,4fy6HNnu1XXq2j1Y56EP2H,58.0,4
117,2017-10-21,Bodak Yellow (Money Moves),Cardi B,2017,3Km8Y4Hlg12tpJxD98X0Ar,9.0,14
118,2017-10-14,Bodak Yellow (Money Moves),Cardi B,2017,3Km8Y4Hlg12tpJxD98X0Ar,9.0,13
119,2017-10-07,Bodak Yellow (Money Moves),Cardi B,2017,3Km8Y4Hlg12tpJxD98X0Ar,9.0,12
120,2017-09-30,Look What You Made Me Do,Taylor Swift,2017,1JbR9RDP3ogVNEWFgNXAjh,75.0,4
121,2017-09-23,Look What You Made Me Do,Taylor Swift,2017,1JbR9RDP3ogVNEWFgNXAjh,75.0,3
122,2017-09-16,Look What You Made Me Do,Taylor Swift,2017,1JbR9RDP3ogVNEWFgNXAjh,75.0,2
123,2017-09-09,Despacito,Luis Fonsi & Daddy Yankee Featuring Justin Bieber,2017,6rPO02ozF3bM7NnOV4h6s2,76.0,32
124,2017-09-02,Despacito,Luis Fonsi & Daddy Yankee Featuring Justin Bieber,2017,6rPO02ozF3bM7NnOV4h6s2,76.0,31
125,2017-08-26,Despacito,Luis Fonsi & Daddy Yankee Featuring Justin Bieber,2017,6rPO02ozF3bM7NnOV4h6s2,76.0,30
126,2017-08-19,Despacito,Luis Fonsi & Daddy Yankee Featuring Justin Bieber,2017,6rPO02ozF3bM7NnOV4h6s2,76.0,29
127,2017-08-12,Despacito,Luis Fonsi & Daddy Yankee Featuring Justin Bieber,2017,6rPO02ozF3bM7NnOV4h6s2,76.0,28
128,2017-08-05,Despacito,Luis Fonsi & Daddy Yankee Featuring Justin Bieber,2017,6rPO02ozF3bM7NnOV4h6s2,76.0,27
129,2017-07-29,Despacito,Luis Fonsi & Daddy Yankee Featuring Justin Bieber,2017,6rPO02ozF3bM7NnOV4h6s2,76.0,26
130,2017-07-22,Despacito,Luis Fonsi & Daddy Yankee Featuring Justin Bieber,2017,6rPO02ozF3bM7NnOV4h6s2,76.0,25
131,2017-07-15,Despacito,Luis Fonsi & Daddy Yankee Featuring Justin Bieber,2017,6rPO02ozF3bM7NnOV4h6s2,76.0,24
132,2017-07-08,Despacito,Luis Fonsi & Daddy Yankee Featuring Justin Bieber,2017,6rPO02ozF3bM7NnOV4h6s2,76.0,23
133,2017-07-01,Despacito,Luis Fonsi & Daddy Yankee Featuring Justin Bieber,2017,6rPO02ozF3bM7NnOV4h6s2,76.0,22
134,2017-06-24,Despacito,Luis Fonsi & Daddy Yankee Featuring Justin Bieber,2017,6rPO02ozF3bM7NnOV4h6s2,76.0,21
135,2017-06-17,Despacito,Luis Fonsi & Daddy Yankee Featuring Justin Bieber,2017,6rPO02ozF3bM7NnOV4h6s2,76.0,20
136,2017-06-10,Despacito,Luis Fonsi & Daddy Yankee Featuring Justin Bieber,2017,6rPO02ozF3bM7NnOV4h6s2,76.0,19
137,2017-06-03,Despacito,Luis Fonsi & Daddy Yankee Featuring Justin Bieber,2017,6rPO02ozF3bM7NnOV4h6s2,76.0,18
138,2017-05-27,Despacito,Luis Fonsi & Daddy Yankee Featuring Justin Bieber,2017,6rPO02ozF3bM7NnOV4h6s2,76.0,17
139,2017-05-20,I'm The One,"DJ Khaled Featuring Justin Bieber, Quavo, Chance The Rapper & Lil Wayne",2017,1jYiIOC5d6soxkJP81fxq2,71.0,1
140,2017-05-13,That's What I Like,Bruno Mars,2017,1KtU0WCq472KzqCXgMOxkS,65.0,15
141,2017-05-06,Humble.,Kendrick Lamar,2017,7KXjTSCq5nL1LoYtL7XAwS,85.0,3
142,2017-04-29,Shape Of You,Ed Sheeran,2017,7qiZfU4dY1lWllzX7mPBI3,87.0,14
143,2017-04-22,Shape Of You,Ed Sheeran,2017,7qiZfU4dY1lWllzX7mPBI3,87.0,13
144,2017-04-15,Shape Of You,Ed Sheeran,2017,7qiZfU4dY1lWllzX7mPBI3,87.0,12
145,2017-04-08,Shape Of You,Ed Sheeran,2017,7qiZfU4dY1lWllzX7mPBI3,87.0,11
146,2017-04-01,Shape Of You,Ed Sheeran,2017,7qiZfU4dY1lWllzX7mPBI3,87.0,10
147,2017-03-25,Shape Of You,Ed Sheeran,2017,7qiZfU4dY1lWllzX7mPBI3,87.0,9
148,2017-03-18,Shape Of You,Ed Sheeran,2017,7qiZfU4dY1lWllzX7mPBI3,87.0,8
149,2017-03-11,Shape Of You,Ed Sheeran,2017,7qiZfU4dY1lWllzX7mPBI3,87.0,7
150,2017-03-04,Shape Of You,Ed Sheeran,2017,7qiZfU4dY1lWllzX7mPBI3,87.0,6
151,2017-02-25,Shape Of You,Ed Sheeran,2017,7qiZfU4dY1lWllzX7mPBI3,87.0,5
152,2017-02-18,Shape Of You,Ed Sheeran,2017,7qiZfU4dY1lWllzX7mPBI3,87.0,4
153,2017-02-11,Bad And Boujee,Migos Featuring Lil Uzi Vert,2017,4Km5HrUvYTaSUfiSGPJeQR,77.0,11
154,2017-02-04,Bad And Boujee,Migos Featuring Lil Uzi Vert,2017,4Km5HrUvYTaSUfiSGPJeQR,77.0,10
155,2017-01-28,Shape Of You,Ed Sheeran,2017,7qiZfU4dY1lWllzX7mPBI3,87.0,1
156,2017-01-21,Bad And Boujee,Migos Featuring Lil Uzi Vert,2017,4Km5HrUvYTaSUfiSGPJeQR,77.0,8
157,2017-01-14,Black Beatles,Rae Sremmurd Featuring Gucci Mane,2017,2KWc5DKUCdoIMVIgivR1bb,53.0,16
158,2017-01-07,Starboy,The Weeknd Featuring Daft Punk,2017,4LceuFIJXzhCJ9iJsYmf0f,41.0,14
159,2016-12-31,Black Beatles,Rae Sremmurd Featuring Gucci Mane,2016,6fujklziTHa8uoM5OQSfIo,78.0,14
160,2016-12-24,Black Beatles,Rae Sremmurd Featuring Gucci Mane,2016,6fujklziTHa8uoM5OQSfIo,78.0,13
161,2016-12-17,Black Beatles,Rae Sremmurd Featuring Gucci Mane,2016,6fujklziTHa8uoM5OQSfIo,78.0,12
162,2016-12-10,Black Beatles,Rae Sremmurd Featuring Gucci Mane,2016,6fujklziTHa8uoM5OQSfIo,78.0,11
163,2016-12-03,Black Beatles,Rae Sremmurd Featuring Gucci Mane,2016,6fujklziTHa8uoM5OQSfIo,78.0,10
164,2016-11-26,Black Beatles,Rae Sremmurd Featuring Gucci Mane,2016,6fujklziTHa8uoM5OQSfIo,78.0,9
165,2016-11-19,Closer,The Chainsmokers Featuring Halsey,2016,7BKLCZ1jbUBVqRi2FVlTVw,86.0,14
166,2016-11-12,Closer,The Chainsmokers Featuring Halsey,2016,7BKLCZ1jbUBVqRi2FVlTVw,86.0,13
167,2016-11-05,Closer,The Chainsmokers Featuring Halsey,2016,7BKLCZ1jbUBVqRi2FVlTVw,86.0,12
168,2016-10-29,Closer,The Chainsmokers Featuring Halsey,2016,7BKLCZ1jbUBVqRi2FVlTVw,86.0,11
169,2016-10-22,Closer,The Chainsmokers Featuring Halsey,2016,7BKLCZ1jbUBVqRi2FVlTVw,86.0,10
170,2016-10-15,Closer,The Chainsmokers Featuring Halsey,2016,7BKLCZ1jbUBVqRi2FVlTVw,86.0,9
171,2016-10-08,Closer,The Chainsmokers Featuring Halsey,2016,7BKLCZ1jbUBVqRi2FVlTVw,86.0,8
172,2016-10-01,Closer,The Chainsmokers Featuring Halsey,2016,7BKLCZ1jbUBVqRi2FVlTVw,86.0,7
173,2016-09-24,Closer,The Chainsmokers Featuring Halsey,2016,7BKLCZ1jbUBVqRi2FVlTVw,86.0,6
174,2016-09-17,Closer,The Chainsmokers Featuring Halsey,2016,7BKLCZ1jbUBVqRi2FVlTVw,86.0,5
175,2016-09-10,Closer,The Chainsmokers Featuring Halsey,2016,7BKLCZ1jbUBVqRi2FVlTVw,86.0,4
176,2016-09-03,Closer,The Chainsmokers Featuring Halsey,2016,7BKLCZ1jbUBVqRi2FVlTVw,86.0,3
177,2016-08-27,Cheap Thrills,Sia Featuring Sean Paul,2016,3S4px9f4lceWdKf0gWciFu,73.0,26
178,2016-08-20,Cheap Thrills,Sia Featuring Sean Paul,2016,3S4px9f4lceWdKf0gWciFu,73.0,25
179,2016-08-13,Cheap Thrills,Sia Featuring Sean Paul,2016,3S4px9f4lceWdKf0gWciFu,73.0,24
180,2016-08-06,Cheap Thrills,Sia Featuring Sean Paul,2016,3S4px9f4lceWdKf0gWciFu,73.0,23
181,2016-07-30,One Dance,Drake Featuring WizKid & Kyla,2016,1zi7xx7UVEFkmKfv06H8x0,83.0,15
182,2016-07-23,One Dance,Drake Featuring WizKid & Kyla,2016,1zi7xx7UVEFkmKfv06H8x0,83.0,14
183,2016-07-16,One Dance,Drake Featuring WizKid & Kyla,2016,1zi7xx7UVEFkmKfv06H8x0,83.0,13
184,2016-07-09,One Dance,Drake Featuring WizKid & Kyla,2016,1zi7xx7UVEFkmKfv06H8x0,83.0,12
185,2016-07-02,One Dance,Drake Featuring WizKid & Kyla,2016,1zi7xx7UVEFkmKfv06H8x0,83.0,11
186,2016-06-25,One Dance,Drake Featuring WizKid & Kyla,2016,1zi7xx7UVEFkmKfv06H8x0,83.0,10
187,2016-06-18,One Dance,Drake Featuring WizKid & Kyla,2016,1zi7xx7UVEFkmKfv06H8x0,83.0,9
188,2016-06-11,One Dance,Drake Featuring WizKid & Kyla,2016,1zi7xx7UVEFkmKfv06H8x0,83.0,8
189,2016-06-04,One Dance,Drake Featuring WizKid & Kyla,2016,1zi7xx7UVEFkmKfv06H8x0,83.0,7
190,2016-05-28,Can't Stop The Feeling!,Justin Timberlake,2016,1WkMMavIMc4JZ8cfMmxHkI,75.0,1
191,2016-05-21,One Dance,Drake Featuring WizKid & Kyla,2016,1zi7xx7UVEFkmKfv06H8x0,83.0,5
192,2016-05-14,Panda,Desiigner,2016,275a9yzwGB6ncAW4SxY7q3,71.0,10
193,2016-05-07,Panda,Desiigner,2016,275a9yzwGB6ncAW4SxY7q3,71.0,9
194,2016-04-30,Work,Rihanna Featuring Drake,2016,72TFWvU3wUYdUuxejTTIzt,78.0,12
195,2016-04-23,Work,Rihanna Featuring Drake,2016,72TFWvU3wUYdUuxejTTIzt,78.0,11
196,2016-04-16,Work,Rihanna Featuring Drake,2016,72TFWvU3wUYdUuxejTTIzt,78.0,10
197,2016-04-09,Work,Rihanna Featuring Drake,2016,72TFWvU3wUYdUuxejTTIzt,78.0,9
198,2016-04-02,Work,Rihanna Featuring Drake,2016,72TFWvU3wUYdUuxejTTIzt,78.0,8
199,2016-03-26,Work,Rihanna Featuring Drake,2016,72TFWvU3wUYdUuxejTTIzt,78.0,7
200,2016-03-19,Work,Rihanna Featuring Drake,2016,72TFWvU3wUYdUuxejTTIzt,78.0,6
201,2016-03-12,Work,Rihanna Featuring Drake,2016,72TFWvU3wUYdUuxejTTIzt,78.0,5
202,2016-03-05,Work,Rihanna Featuring Drake,2016,72TFWvU3wUYdUuxejTTIzt,78.0,4
203,2016-02-27,Love Yourself,Justin Bieber,2016,1rNuKbtlRfq7DBeLBSzrmz,59.0,13
204,2016-02-20,Pillowtalk,Zayn,2016,0PDUDa38GO8lMxLCRc4lL1,79.0,1
205,2016-02-13,Love Yourself,Justin Bieber,2016,1rNuKbtlRfq7DBeLBSzrmz,59.0,11
206,2016-02-06,Sorry,Justin Bieber,2016,0lnIJmgcUpEpe4AZACjayW,74.0,13
207,2016-01-30,Sorry,Justin Bieber,2016,0lnIJmgcUpEpe4AZACjayW,74.0,12
208,2016-01-23,Sorry,Justin Bieber,2016,0lnIJmgcUpEpe4AZACjayW,74.0,11
209,2016-01-16,Hello,Adele,2016,4sPmO7WMQUAf45kwMOtONw,73.0,10
210,2016-01-09,Hello,Adele,2016,4sPmO7WMQUAf45kwMOtONw,73.0,9
211,2016-01-02,Hello,Adele,2016,4sPmO7WMQUAf45kwMOtONw,73.0,8
212,2015-12-26,Hello,Adele,2015,0ENSn4fwAbCGeFGVUbXEU3,64.0,7
213,2015-12-19,Hello,Adele,2015,0ENSn4fwAbCGeFGVUbXEU3,64.0,6
214,2015-12-12,Hello,Adele,2015,0ENSn4fwAbCGeFGVUbXEU3,64.0,5
215,2015-12-05,Hello,Adele,2015,0ENSn4fwAbCGeFGVUbXEU3,64.0,4
216,2015-11-28,Hello,Adele,2015,0ENSn4fwAbCGeFGVUbXEU3,64.0,3
217,2015-11-21,Hello,Adele,2015,0ENSn4fwAbCGeFGVUbXEU3,64.0,2
218,2015-11-14,Hello,Adele,2015,0ENSn4fwAbCGeFGVUbXEU3,64.0,1
219,2015-11-07,The Hills,The Weeknd,2015,7fBv7CLKzipRk6EC6TWHOB,84.0,22
220,2015-10-31,The Hills,The Weeknd,2015,7fBv7CLKzipRk6EC6TWHOB,84.0,21
221,2015-10-24,The Hills,The Weeknd,2015,7fBv7CLKzipRk6EC6TWHOB,84.0,20
222,2015-10-17,The Hills,The Weeknd,2015,7fBv7CLKzipRk6EC6TWHOB,84.0,19
223,2015-10-10,The Hills,The Weeknd,2015,7fBv7CLKzipRk6EC6TWHOB,84.0,18
224,2015-10-03,The Hills,The Weeknd,2015,7fBv7CLKzipRk6EC6TWHOB,84.0,17
225,2015-09-26,Can't Feel My Face,The Weeknd,2015,22VdIZQfgXJea34mQxlt81,81.0,14
226,2015-09-19,What Do You Mean?,Justin Bieber,2015,4B0JvthVoAAuygILe3n4Bs,79.0,1
227,2015-09-12,Can't Feel My Face,The Weeknd,2015,22VdIZQfgXJea34mQxlt81,81.0,12
228,2015-09-05,Cheerleader,OMI,2015,023OVLNzXhX0j7CxswUt6D,66.0,18
229,2015-08-29,Cheerleader,OMI,2015,023OVLNzXhX0j7CxswUt6D,66.0,17
230,2015-08-22,Can't Feel My Face,The Weeknd,2015,22VdIZQfgXJea34mQxlt81,81.0,9
231,2015-08-15,Cheerleader,OMI,2015,023OVLNzXhX0j7CxswUt6D,66.0,15
232,2015-08-08,Cheerleader,OMI,2015,023OVLNzXhX0j7CxswUt6D,66.0,14
233,2015-08-01,Cheerleader,OMI,2015,023OVLNzXhX0j7CxswUt6D,66.0,13
234,2015-07-25,Cheerleader,OMI,2015,023OVLNzXhX0j7CxswUt6D,66.0,12
