,Billboard Chart Date,Title,Artist,Year,Spotify Song ID,Spotify Popularity Rating,Number of Weeks In Top 100
0,2019-12-14,Heartless,The Weeknd,2019,57vxBYXtHMk6H1aD29V7PU,94.0,2
1,2019-12-07,Circles,Post Malone,2019,21jGcNKet2qwijlDFuPiPb,99.0,13
2,2019-11-30,Circles,Post Malone,2019,21jGcNKet2qwijlDFuPiPb,99.0,12
3,2019-11-23,Someone You Loved,Lewis Capaldi,2019,7qEHsqek33rTcFNT9PFqLf,96.0,27
4,2019-11-16,Someone You Loved,Lewis Capaldi,2019,7qEHsqek33rTcFNT9PFqLf,96.0,26
5,2019-11-09,Lose You To Love Me,Selena Gomez,2019,1HfMVBKM75vxSfsQ5VefZ5,98.0,2
6,2019-11-02,Someone You Loved,Lewis Capaldi,2019,7qEHsqek33rTcFNT9PFqLf,96.0,24
7,2019-10-26,Truth Hurts,Lizzo,2019,5qmq61DAAOUaW8AUo8xKhh,91.0,24
8,2019-10-19,HIGHEST IN THE ROOM,Travis Scott,2019,3eekarcy7kvN4yt5ZFzltW,97.0,1
9,2019-10-12,Truth Hurts,Lizzo,2019,5qmq61DAAOUaW8AUo8xKhh,91.0,22
10,2019-10-05,Truth Hurts,Lizzo,2019,5qmq61DAAOUaW8AUo8xKhh,91.0,21
11,2019-09-28,Truth Hurts,Lizzo,2019,5qmq61DAAOUaW8AUo8xKhh,91.0,20
12,2019-09-21,Truth Hurts,Lizzo,2019,5qmq61DAAOUaW8AUo8xKhh,91.0,19
13,2019-09-14,Truth Hurts,Lizzo,2019,5qmq61DAAOUaW8AUo8xKhh,91.0,18
14,2019-09-07,Truth Hurts,Lizzo,2019,5qmq61DAAOUaW8AUo8xKhh,91.0,17
15,2019-08-31,Senorita,Shawn Mendes & Camila Cabello,2019,0TK2YIli7K1leLovkQiNik,96.0,9
16,2019-08-24,Bad Guy,Billie Eilish,2019,2Fxmhks0bxGSBdJ92vM42m,96.0,20
17,2019-08-17,Old Town Road,Lil Nas X Featuring Billy Ray Cyrus,2019,2YpeDb67231RjR0MgVLzsG,92.0,23
18,2019-08-10,Old Town Road,Lil Nas X Featuring Billy Ray Cyrus,2019,2YpeDb67231RjR0MgVLzsG,92.0,22
19,2019-08-03,Old Town Road,Lil Nas X Featuring Billy Ray Cyrus,2019,2YpeDb67231RjR0MgVLzsG,92.0,21
20,2019-07-27,Old Town Road,Lil Nas X Featuring Billy Ray Cyrus,2019,2YpeDb67231RjR0MgVLzsG,92.0,20
21,2019-07-20,Old Town Road,Lil Nas X Featuring Billy Ray Cyrus,2019,2YpeDb67231RjR0MgVLzsG,92.0,19
22,2019-07-13,Old Town Road,Lil Nas X Featuring Billy Ray Cyrus,2019,2YpeDb67231RjR0MgVLzsG,92.0,18
23,2019-07-06,Old Town Road,Lil Nas X Featuring Billy Ray Cyrus,2019,2YpeDb67231RjR0MgVLzsG,92.0,17
24,2019-06-29,Old Town Road,Lil Nas X Featuring Billy Ray Cyrus,2019,2YpeDb67231RjR0MgVLzsG,92.0,16
25,2019-06-22,Old Town Road,Lil Nas X Featuring Billy Ray Cyrus,2019,2YpeDb67231RjR0MgVLzsG,92.0,15
26,2019-06-15,Old Town Road,Lil Nas X Featuring Billy Ray Cyrus,2019,2YpeDb67231RjR0MgVLzsG,92.0,14
27,2019-06-08,Old Town Road,Lil Nas X Featuring Billy Ray Cyrus,2019,2YpeDb67231RjR0MgVLzsG,92.0,13
28,2019-06-01,Old Town Road,Lil Nas X Featuring Billy Ray Cyrus,2019,2YpeDb67231RjR0MgVLzsG,92.0,12
29,2019-05-25,Old Town Road,Lil Nas X Featuring Billy Ray Cyrus,2019,2YpeDb67231RjR0MgVLzsG,92.0,11
30,2019-05-18,Old Town Road,Lil Nas X Featuring Billy Ray Cyrus,2019,2YpeDb67231RjR0MgVLzsG,92.0,10
31,2019-05-11,Old Town Road,Lil Nas X Featuring Billy Ray Cyrus,2019,2YpeDb67231RjR0MgVLzsG,92.0,9
32,2019-05-04,Old Town Road,Lil Nas X Featuring Billy Ray Cyrus,2019,2YpeDb67231RjR0MgVLzsG,92.0,8
33,2019-04-27,Old Town Road,Lil Nas X Featuring Billy Ray Cyrus,2019,2YpeDb67231RjR0MgVLzsG,92.0,7
34,2019-04-20,Old Town Road,Lil Nas X Featuring Billy Ray Cyrus,2019,2YpeDb67231RjR0MgVLzsG,92.0,6
35,2019-04-13,Old Town Road,Lil Nas X Featuring Billy Ray Cyrus,2019,2YpeDb67231RjR0MgVLzsG,92.0,5
36,2019-04-06,7 Rings,Ariana Grande,2019,6ocbgoVGwYJhOv1GgI9NsF,91.0,10
37,2019-03-30,7 Rings,Ariana Grande,2019,6ocbgoVGwYJhOv1GgI9NsF,91.0,9
38,2019-03-23,7 Rings,Ariana Grande,2019,6ocbgoVGwYJhOv1GgI9NsF,91.0,8
39,2019-03-16,Sucker,Jonas Brothers,2019,22vgEDb5hykfaTwLuskFGD,81.0,1
40,2019-03-09,Shallow,Lady Gaga & Bradley Cooper,2019,6ysfrXnADdeTtW20oSybln,60.0,22
41,2019-03-02,7 Rings,Ariana Grande,2019,6ocbgoVGwYJhOv1GgI9NsF,91.0,5
42,2019-02-23,7 Rings,Ariana Grande,2019,6ocbgoVGwYJhOv1GgI9NsF,91.0,4
43,2019-02-16,7 Rings,Ariana Grande,2019,6ocbgoVGwYJhOv1GgI9NsF,91.0,3
44,2019-02-09,7 Rings,Ariana Grande,2019,6ocbgoVGwYJhOv1GgI9NsF,91.0,2
