,Chart Date,Title,Artist,Number of Weeks In Top 100
458,2013-04-20,When I Was Your Man,Bruno Mars,16
459,2013-04-13,Thrift Shop,Macklemore & Ryan Lewis Featuring Wanz,26
460,2013-04-06,Thrift Shop,Macklemore & Ryan Lewis Featuring Wanz,25
461,2013-03-30,Harlem Shake,Baauer,5
462,2013-03-23,Harlem Shake,Baauer,4
463,2013-03-16,Harlem Shake,Baauer,3
464,2013-03-09,Harlem Shake,Baauer,2
465,2013-03-02,Harlem Shake,Baauer,1
466,2013-02-23,Thrift Shop,Macklemore & Ryan Lewis Featuring Wanz,19
467,2013-02-16,Thrift Shop,Macklemore & Ryan Lewis Featuring Wanz,18
468,2013-02-09,Thrift Shop,Macklemore & Ryan Lewis Featuring Wanz,17
469,2013-02-02,Thrift Shop,Macklemore & Ryan Lewis Featuring Wanz,16
470,2013-01-26,Locked Out Of Heaven,Bruno Mars,15
471,2013-01-19,Locked Out Of Heaven,Bruno Mars,14
472,2013-01-12,Locked Out Of Heaven,Bruno Mars,13
473,2013-01-05,Locked Out Of Heaven,Bruno Mars,12
474,2012-12-29,Locked Out Of Heaven,Bruno Mars,11
475,2012-12-22,Locked Out Of Heaven,Bruno Mars,10
476,2012-12-15,Diamonds,Rihanna,10
477,2012-12-08,Diamonds,Rihanna,9
478,2012-12-01,Diamonds,Rihanna,8
479,2012-11-24,One More Night,Maroon 5,21
480,2012-11-17,One More Night,Maroon 5,20
481,2012-11-10,One More Night,Maroon 5,19
482,2012-11-03,One More Night,Maroon 5,18
483,2012-10-27,One More Night,Maroon 5,17
484,2012-10-20,One More Night,Maroon 5,16
485,2012-10-13,One More Night,Maroon 5,15
486,2012-10-06,One More Night,Maroon 5,14
487,2012-09-29,One More Night,Maroon 5,13
488,2012-09-22,We Are Never Ever Getting Back Together,Taylor Swift,5
489,2012-09-15,Whistle,Flo Rida,16
490,2012-09-08,We Are Never Ever Getting Back Together,Taylor Swift,3
491,2012-09-01,We Are Never Ever Getting Back Together,Taylor Swift,2
492,2012-08-25,Whistle,Flo Rida,13
493,2012-08-18,Call Me Maybe,Carly Rae Jepsen,24
494,2012-08-11,Call Me Maybe,Carly Rae Jepsen,23
495,2012-08-04,Call Me Maybe,Carly Rae Jepsen,22
496,2012-07-28,Call Me Maybe,Carly Rae Jepsen,21
497,2012-07-21,Call Me Maybe,Carly Rae Jepsen,20
498,2012-07-14,Call Me Maybe,Carly Rae Jepsen,19
499,2012-07-07,Call Me Maybe,Carly Rae Jepsen,18
500,2012-06-30,Call Me Maybe,Carly Rae Jepsen,17
501,2012-06-23,Call Me Maybe,Carly Rae Jepsen,16
502,2012-06-16,Somebody That I Used To Know,Gotye Featuring Kimbra,22
503,2012-06-09,Somebody That I Used To Know,Gotye Featuring Kimbra,21
504,2012-06-02,Somebody That I Used To Know,Gotye Featuring Kimbra,20
505,2012-05-26,Somebody That I Used To Know,Gotye Featuring Kimbra,19
506,2012-05-19,Somebody That I Used To Know,Gotye Featuring Kimbra,18
507,2012-05-12,Somebody That I Used To Know,Gotye Featuring Kimbra,17
508,2012-05-05,Somebody That I Used To Know,Gotye Featuring Kimbra,16
509,2012-04-28,Somebody That I Used To Know,Gotye Featuring Kimbra,15
