,Chart Date,Title,Artist,Number of Weeks In Top 100
111,2017-12-02,Rockstar,Post Malone Featuring 21 Savage,9
112,2017-11-25,Rockstar,Post Malone Featuring 21 Savage,8
113,2017-11-18,Rockstar,Post Malone Featuring 21 Savage,7
114,2017-11-11,Rockstar,Post Malone Featuring 21 Savage,6
115,2017-11-04,Rockstar,Post Malone Featuring 21 Savage,5
116,2017-10-28,Rockstar,Post Malone Featuring 21 Savage,4
117,2017-10-21,Bodak Yellow (Money Moves),Cardi B,14
118,2017-10-14,Bodak Yellow (Money Moves),Cardi B,13
119,2017-10-07,Bodak Yellow (Money Moves),Cardi B,12
120,2017-09-30,Look What You Made Me Do,Taylor Swift,4
121,2017-09-23,Look What You Made Me Do,Taylor Swift,3
122,2017-09-16,Look What You Made Me Do,Taylor Swift,2
123,2017-09-09,Despacito,Luis Fonsi & Daddy Yankee Featuring Justin Bieber,32
124,2017-09-02,Despacito,Luis Fonsi & Daddy Yankee Featuring Justin Bieber,31
125,2017-08-26,Despacito,Luis Fonsi & Daddy Yankee Featuring Justin Bieber,30
126,2017-08-19,Despacito,Luis Fonsi & Daddy Yankee Featuring Justin Bieber,29
127,2017-08-12,Despacito,Luis Fonsi & Daddy Yankee Featuring Justin Bieber,28
128,2017-08-05,Despacito,Luis Fonsi & Daddy Yankee Featuring Justin Bieber,27
129,2017-07-29,Despacito,Luis Fonsi & Daddy Yankee Featuring Justin Bieber,26
130,2017-07-22,Despacito,Luis Fonsi & Daddy Yankee Featuring Justin Bieber,25
131,2017-07-15,Despacito,Luis Fonsi & Daddy Yankee Featuring Justin Bieber,24
132,2017-07-08,Despacito,Luis Fonsi & Daddy Yankee Featuring Justin Bieber,23
133,2017-07-01,Despacito,Luis Fonsi & Daddy Yankee Featuring Justin Bieber,22
134,2017-06-24,Despacito,Luis Fonsi & Daddy Yankee Featuring Justin Bieber,21
135,2017-06-17,Despacito,Luis Fonsi & Daddy Yankee Featuring Justin Bieber,20
136,2017-06-10,Despacito,Luis Fonsi & Daddy Yankee Featuring Justin Bieber,19
137,2017-06-03,Despacito,Luis Fonsi & Daddy Yankee Featuring Justin Bieber,18
138,2017-05-27,Despacito,Luis Fonsi & Daddy Yankee Featuring Justin Bieber,17
139,2017-05-20,I'm The One,"DJ Khaled Featuring Justin Bieber, Quavo, Chance The Rapper & Lil Wayne",1
140,2017-05-13,That's What I Like,Bruno Mars,15
141,2017-05-06,Humble.,Kendrick Lamar,3
142,2017-04-29,Shape Of You,Ed Sheeran,14
143,2017-04-22,Shape Of You,Ed Sheeran,13
144,2017-04-15,Shape Of You,Ed Sheeran,12
145,2017-04-08,Shape Of You,Ed Sheeran,11
146,2017-04-01,Shape Of You,Ed Sheeran,10
147,2017-03-25,Shape Of You,Ed Sheeran,9
148,2017-03-18,Shape Of You,Ed Sheeran,8
149,2017-03-11,Shape Of You,Ed Sheeran,7
150,2017-03-04,Shape Of You,Ed Sheeran,6
151,2017-02-25,Shape Of You,Ed Sheeran,5
152,2017-02-18,Shape Of You,Ed Sheeran,4
153,2017-02-11,Bad And Boujee,Migos Featuring Lil Uzi Vert,11
154,2017-02-04,Bad And Boujee,Migos Featuring Lil Uzi Vert,10
155,2017-01-28,Shape Of You,Ed Sheeran,1
156,2017-01-21,Bad And Boujee,Migos Featuring Lil Uzi Vert,8
157,2017-01-14,Black Beatles,Rae Sremmurd Featuring Gucci Mane,16
158,2017-01-07,Starboy,The Weeknd Featuring Daft Punk,14
159,2016-12-31,Black Beatles,Rae Sremmurd Featuring Gucci Mane,14
160,2016-12-24,Black Beatles,Rae Sremmurd Featuring Gucci Mane,13
161,2016-12-17,Black Beatles,Rae Sremmurd Featuring Gucci Mane,12
162,2016-12-10,Black Beatles,Rae Sremmurd Featuring Gucci Mane,11
