,Chart Date,Title,Artist,Number of Weeks In Top 100
819,2010-02-13,TiK ToK,Ke$ha,17
820,2010-02-06,TiK ToK,Ke$ha,16
821,2010-01-30,TiK ToK,Ke$ha,15
822,2010-01-23,TiK ToK,Ke$ha,14
823,2010-01-16,TiK ToK,Ke$ha,13
824,2010-01-09,TiK ToK,Ke$ha,12
825,2010-01-02,TiK ToK,Ke$ha,11
826,2009-12-26,Empire State Of Mind,Jay-Z + Alicia Keys,14
827,2009-12-19,Empire State Of Mind,Jay-Z + Alicia Keys,13
828,2009-12-12,Empire State Of Mind,Jay-Z + Alicia Keys,12
829,2009-12-05,Empire State Of Mind,Jay-Z + Alicia Keys,11
830,2009-11-28,Empire State Of Mind,Jay-Z + Alicia Keys,10
831,2009-11-21,Fireflies,Owl City,12
832,2009-11-14,Whatcha Say,Jason Derulo,12
833,2009-11-07,Fireflies,Owl City,10
834,2009-10-31,Down,Jay Sean Featuring Lil Wayne,16
835,2009-10-24,3,Britney Spears,1
836,2009-10-17,Down,Jay Sean Featuring Lil Wayne,14
837,2009-10-10,I Gotta Feeling,The Black Eyed Peas,16
838,2009-10-03,I Gotta Feeling,The Black Eyed Peas,15
839,2009-09-26,I Gotta Feeling,The Black Eyed Peas,14
840,2009-09-19,I Gotta Feeling,The Black Eyed Peas,13
841,2009-09-12,I Gotta Feeling,The Black Eyed Peas,12
842,2009-09-05,I Gotta Feeling,The Black Eyed Peas,11
843,2009-08-29,I Gotta Feeling,The Black Eyed Peas,10
844,2009-08-22,I Gotta Feeling,The Black Eyed Peas,9
845,2009-08-15,I Gotta Feeling,The Black Eyed Peas,8
846,2009-08-08,I Gotta Feeling,The Black Eyed Peas,7
847,2009-08-01,I Gotta Feeling,The Black Eyed Peas,6
848,2009-07-25,I Gotta Feeling,The Black Eyed Peas,5
849,2009-07-18,I Gotta Feeling,The Black Eyed Peas,4
850,2009-07-11,I Gotta Feeling,The Black Eyed Peas,3
851,2009-07-04,Boom Boom Pow,The Black Eyed Peas,15
852,2009-06-27,Boom Boom Pow,The Black Eyed Peas,14
853,2009-06-20,Boom Boom Pow,The Black Eyed Peas,13
854,2009-06-13,Boom Boom Pow,The Black Eyed Peas,12
855,2009-06-06,Boom Boom Pow,The Black Eyed Peas,11
856,2009-05-30,Boom Boom Pow,The Black Eyed Peas,10
857,2009-05-23,Boom Boom Pow,The Black Eyed Peas,9
858,2009-05-16,Boom Boom Pow,The Black Eyed Peas,8
859,2009-05-09,Boom Boom Pow,The Black Eyed Peas,7
860,2009-05-02,Boom Boom Pow,The Black Eyed Peas,6
861,2009-04-25,Boom Boom Pow,The Black Eyed Peas,5
862,2009-04-18,Boom Boom Pow,The Black Eyed Peas,4
863,2009-04-11,Poker Face,Lady Gaga,15
864,2009-04-04,Right Round,Flo Rida,8
865,2009-03-28,Right Round,Flo Rida,7
866,2009-03-21,Right Round,Flo Rida,6
867,2009-03-14,Right Round,Flo Rida,5
868,2009-03-07,Right Round,Flo Rida,4
869,2009-02-28,Right Round,Flo Rida,3
870,2009-02-21,Crack A Bottle,"Eminem, Dr. Dre & 50 Cent",4
871,2009-02-14,My Life Would Suck Without You,Kelly Clarkson,3
872,2009-02-07,My Life Would Suck Without You,Kelly Clarkson,2
873,2009-01-31,Just Dance,Lady Gaga Featuring Colby O'Donis,24
874,2009-01-24,Just Dance,Lady Gaga Featuring Colby O'Donis,23
875,2009-01-17,Just Dance,Lady Gaga Featuring Colby O'Donis,22
876,2009-01-10,Single Ladies (Put A Ring On It),Beyonce,11
877,2009-01-03,Single Ladies (Put A Ring On It),Beyonce,10
878,2008-12-27,Single Ladies (Put A Ring On It),Beyonce,9
879,2008-12-20,Live Your Life,T.I. Featuring Rihanna,11
880,2008-12-13,Single Ladies (Put A Ring On It),Beyonce,7
881,2008-12-06,Live Your Life,T.I. Featuring Rihanna,9
882,2008-11-29,Live Your Life,T.I. Featuring Rihanna,8
883,2008-11-22,Live Your Life,T.I. Featuring Rihanna,7
884,2008-11-15,Live Your Life,T.I. Featuring Rihanna,6
885,2008-11-08,Whatever You Like,T.I.,12
886,2008-11-01,Whatever You Like,T.I.,11
887,2008-10-25,Womanizer,Britney Spears,2
888,2008-10-18,Live Your Life,T.I. Featuring Rihanna,2
889,2008-10-11,Whatever You Like,T.I.,8
890,2008-10-04,Whatever You Like,T.I.,7
891,2008-09-27,So What,P!nk,4
892,2008-09-20,Whatever You Like,T.I.,5
893,2008-09-13,Whatever You Like,T.I.,4
894,2008-09-06,Whatever You Like,T.I.,3
895,2008-08-30,Disturbia,Rihanna,9
896,2008-08-23,Disturbia,Rihanna,8
897,2008-08-16,I Kissed A Girl,Katy Perry,13
898,2008-08-09,I Kissed A Girl,Katy Perry,12
899,2008-08-02,I Kissed A Girl,Katy Perry,11
900,2008-07-26,I Kissed A Girl,Katy Perry,10
901,2008-07-19,I Kissed A Girl,Katy Perry,9
902,2008-07-12,I Kissed A Girl,Katy Perry,8
903,2008-07-05,I Kissed A Girl,Katy Perry,7
904,2008-06-28,Viva La Vida,Coldplay,6
905,2008-06-21,Lollipop,Lil Wayne Featuring Static Major,13
906,2008-06-14,Lollipop,Lil Wayne Featuring Static Major,12
907,2008-06-07,Lollipop,Lil Wayne Featuring Static Major,11
908,2008-05-31,Lollipop,Lil Wayne Featuring Static Major,10
909,2008-05-24,Take A Bow,Rihanna,5
910,2008-05-17,Bleeding Love,Leona Lewis,12
911,2008-05-10,Bleeding Love,Leona Lewis,11
912,2008-05-03,Lollipop,Lil Wayne Featuring Static Major,6
913,2008-04-26,Bleeding Love,Leona Lewis,9
914,2008-04-19,Touch My Body,Mariah Carey,8
915,2008-04-12,Touch My Body,Mariah Carey,7
916,2008-04-05,Bleeding Love,Leona Lewis,6
917,2008-03-29,Love In This Club,Usher Featuring Young Jeezy,5
918,2008-03-22,Love In This Club,Usher Featuring Young Jeezy,4
919,2008-03-15,Love In This Club,Usher Featuring Young Jeezy,3
920,2008-03-08,Low,Flo Rida Featuring T-Pain,18
921,2008-03-01,Low,Flo Rida Featuring T-Pain,17
922,2008-02-23,Low,Flo Rida Featuring T-Pain,16
923,2008-02-16,Low,Flo Rida Featuring T-Pain,15
924,2008-02-09,Low,Flo Rida Featuring T-Pain,14
925,2008-02-02,Low,Flo Rida Featuring T-Pain,13
926,2008-01-26,Low,Flo Rida Featuring T-Pain,12
927,2008-01-19,Low,Flo Rida Featuring T-Pain,11
928,2008-01-12,Low,Flo Rida Featuring T-Pain,10
929,2008-01-05,Low,Flo Rida Featuring T-Pain,9
930,2007-12-29,No One,Alicia Keys,15
931,2007-12-22,No One,Alicia Keys,14
932,2007-12-15,No One,Alicia Keys,13
933,2007-12-08,No One,Alicia Keys,12
934,2007-12-01,No One,Alicia Keys,11
935,2007-11-24,Kiss Kiss,Chris Brown Featuring T-Pain,9
936,2007-11-17,Kiss Kiss,Chris Brown Featuring T-Pain,8
937,2007-11-10,Kiss Kiss,Chris Brown Featuring T-Pain,7
938,2007-11-03,Crank That (Soulja Boy),Soulja Boy Tell'em,15
939,2007-10-27,Crank That (Soulja Boy),Soulja Boy Tell'em,14
940,2007-10-20,Crank That (Soulja Boy),Soulja Boy Tell'em,13
941,2007-10-13,Crank That (Soulja Boy),Soulja Boy Tell'em,12
942,2007-10-06,Crank That (Soulja Boy),Soulja Boy Tell'em,11
943,2007-09-29,Stronger,Kanye West,8
944,2007-09-22,Crank That (Soulja Boy),Soulja Boy Tell'em,9
945,2007-09-15,Crank That (Soulja Boy),Soulja Boy Tell'em,8
946,2007-09-08,Big Girls Don't Cry,Fergie,19
947,2007-09-01,Beautiful Girls,Sean Kingston,13
948,2007-08-25,Beautiful Girls,Sean Kingston,12
949,2007-08-18,Beautiful Girls,Sean Kingston,11
950,2007-08-11,Beautiful Girls,Sean Kingston,10
951,2007-08-04,Hey There Delilah,Plain White T's,17
952,2007-07-28,Hey There Delilah,Plain White T's,16
953,2007-07-21,Umbrella,Rihanna Featuring Jay-Z,13
954,2007-07-14,Umbrella,Rihanna Featuring Jay-Z,12
955,2007-07-07,Umbrella,Rihanna Featuring Jay-Z,11
956,2007-06-30,Umbrella,Rihanna Featuring Jay-Z,10
957,2007-06-23,Umbrella,Rihanna Featuring Jay-Z,9
958,2007-06-16,Umbrella,Rihanna Featuring Jay-Z,8
959,2007-06-09,Umbrella,Rihanna Featuring Jay-Z,7
960,2007-06-02,Makes Me Wonder,Maroon 5,7
961,2007-05-26,Buy U A Drank (Shawty Snappin'),T-Pain Featuring Yung Joc,12
962,2007-05-19,Makes Me Wonder,Maroon 5,5
963,2007-05-12,Makes Me Wonder,Maroon 5,4
964,2007-05-05,Girlfriend,Avril Lavigne,8
965,2007-04-28,Give It To Me,Timbaland Featuring Nelly Furtado & Justin Timberlake,10
966,2007-04-21,Give It To Me,Timbaland Featuring Nelly Furtado & Justin Timberlake,9
967,2007-04-14,Don't Matter,Akon,11
968,2007-04-07,Don't Matter,Akon,10
969,2007-03-31,Glamorous,Fergie Featuring Ludacris,10
970,2007-03-24,Glamorous,Fergie Featuring Ludacris,9
971,2007-03-17,This Is Why I'm Hot,Mims,7
972,2007-03-10,This Is Why I'm Hot,Mims,6
973,2007-03-03,What Goes Around...Comes Around,Justin Timberlake,11
974,2007-02-24,Say It Right,Nelly Furtado,14
975,2007-02-17,Irreplaceable,Beyonce,16
976,2007-02-10,Irreplaceable,Beyonce,15
977,2007-02-03,Irreplaceable,Beyonce,14
978,2007-01-27,Irreplaceable,Beyonce,13
979,2007-01-20,Irreplaceable,Beyonce,12
980,2007-01-13,Irreplaceable,Beyonce,11
981,2007-01-06,Irreplaceable,Beyonce,10
982,2006-12-30,Irreplaceable,Beyonce,9
983,2006-12-23,Irreplaceable,Beyonce,8
984,2006-12-16,Irreplaceable,Beyonce,7
985,2006-12-09,I Wanna Love You,Akon Featuring Snoop Dogg,9
986,2006-12-02,I Wanna Love You,Akon Featuring Snoop Dogg,8
987,2006-11-25,My Love,Justin Timberlake Featuring T.I.,10
988,2006-11-18,My Love,Justin Timberlake Featuring T.I.,9
989,2006-11-11,My Love,Justin Timberlake Featuring T.I.,8
990,2006-11-04,Money Maker,Ludacris Featuring Pharrell,11
991,2006-10-28,Money Maker,Ludacris Featuring Pharrell,10
992,2006-10-21,SexyBack,Justin Timberlake,14
993,2006-10-14,SexyBack,Justin Timberlake,13
994,2006-10-07,SexyBack,Justin Timberlake,12
995,2006-09-30,SexyBack,Justin Timberlake,11
996,2006-09-23,SexyBack,Justin Timberlake,10
997,2006-09-16,SexyBack,Justin Timberlake,9
998,2006-09-09,SexyBack,Justin Timberlake,8
999,2006-09-02,London Bridge,Fergie,5
1000,2006-08-26,London Bridge,Fergie,4
1001,2006-08-19,London Bridge,Fergie,3
1002,2006-08-12,Promiscuous,Nelly Furtado Featuring Timbaland,13
1003,2006-08-05,Promiscuous,Nelly Furtado Featuring Timbaland,12
1004,2006-07-29,Promiscuous,Nelly Furtado Featuring Timbaland,11
1005,2006-07-22,Promiscuous,Nelly Furtado Featuring Timbaland,10
1006,2006-07-15,Promiscuous,Nelly Furtado Featuring Timbaland,9
1007,2006-07-08,Promiscuous,Nelly Furtado Featuring Timbaland,8
1008,2006-07-01,Do I Make You Proud,Taylor Hicks,1
1009,2006-06-24,Hips Don't Lie,Shakira Featuring Wyclef Jean,13
1010,2006-06-17,Hips Don't Lie,Shakira Featuring Wyclef Jean,12
1011,2006-06-10,Ridin',Chamillionaire Featuring Krayzie Bone,15
1012,2006-06-03,Ridin',Chamillionaire Featuring Krayzie Bone,14
1013,2006-05-27,SOS,Rihanna,14
1014,2006-05-20,SOS,Rihanna,13
1015,2006-05-13,SOS,Rihanna,12
1016,2006-05-06,Bad Day,Daniel Powter,11
1017,2006-04-29,Bad Day,Daniel Powter,10
1018,2006-04-22,Bad Day,Daniel Powter,9
1019,2006-04-15,Bad Day,Daniel Powter,8
1020,2006-04-08,Bad Day,Daniel Powter,7
1021,2006-04-01,Temperature,Sean Paul,11
1022,2006-03-25,So Sick,Ne-Yo,16
1023,2006-03-18,So Sick,Ne-Yo,15
1024,2006-03-11,You're Beautiful,James Blunt,18
1025,2006-03-04,Check On It,Beyonce Featuring Slim Thug,16
1026,2006-02-25,Check On It,Beyonce Featuring Slim Thug,15
1027,2006-02-18,Check On It,Beyonce Featuring Slim Thug,14
1028,2006-02-11,Check On It,Beyonce Featuring Slim Thug,13
1029,2006-02-04,Check On It,Beyonce Featuring Slim Thug,12
1030,2006-01-28,Grillz,"Nelly Featuring Paul Wall, Ali & Gipp",11
1031,2006-01-21,Grillz,"Nelly Featuring Paul Wall, Ali & Gipp",10
1032,2006-01-14,Laffy Taffy,D4L,16
1033,2006-01-07,Don't Forget About Us,Mariah Carey,12
1034,2005-12-31,Don't Forget About Us,Mariah Carey,11
1035,2005-12-24,Run It!,Chris Brown,18
1036,2005-12-17,Run It!,Chris Brown,17
1037,2005-12-10,Run It!,Chris Brown,16
1038,2005-12-03,Run It!,Chris Brown,15
1039,2005-11-26,Run It!,Chris Brown,14
1040,2005-11-19,Gold Digger,Kanye West Featuring Jamie Foxx,17
1041,2005-11-12,Gold Digger,Kanye West Featuring Jamie Foxx,16
1042,2005-11-05,Gold Digger,Kanye West Featuring Jamie Foxx,15
1043,2005-10-29,Gold Digger,Kanye West Featuring Jamie Foxx,14
1044,2005-10-22,Gold Digger,Kanye West Featuring Jamie Foxx,13
1045,2005-10-15,Gold Digger,Kanye West Featuring Jamie Foxx,12
1046,2005-10-08,Gold Digger,Kanye West Featuring Jamie Foxx,11
1047,2005-10-01,Gold Digger,Kanye West Featuring Jamie Foxx,10
1048,2005-09-24,Gold Digger,Kanye West Featuring Jamie Foxx,9
1049,2005-09-17,Gold Digger,Kanye West Featuring Jamie Foxx,8
1050,2005-09-10,We Belong Together,Mariah Carey,22
1051,2005-09-03,We Belong Together,Mariah Carey,21
1052,2005-08-27,We Belong Together,Mariah Carey,20
1053,2005-08-20,We Belong Together,Mariah Carey,19
1054,2005-08-13,We Belong Together,Mariah Carey,18
1055,2005-08-06,We Belong Together,Mariah Carey,17
1056,2005-07-30,We Belong Together,Mariah Carey,16
1057,2005-07-23,We Belong Together,Mariah Carey,15
1058,2005-07-16,We Belong Together,Mariah Carey,14
1059,2005-07-09,We Belong Together,Mariah Carey,13
1060,2005-07-02,Inside Your Heaven,Carrie Underwood,1
1061,2005-06-25,We Belong Together,Mariah Carey,11
1062,2005-06-18,We Belong Together,Mariah Carey,10
1063,2005-06-11,We Belong Together,Mariah Carey,9
1064,2005-06-04,We Belong Together,Mariah Carey,8
1065,2005-05-28,Hollaback Girl,Gwen Stefani,9
1066,2005-05-21,Hollaback Girl,Gwen Stefani,8
1067,2005-05-14,Hollaback Girl,Gwen Stefani,7
1068,2005-05-07,Hollaback Girl,Gwen Stefani,6
1069,2005-04-30,Candy Shop,50 Cent Featuring Olivia,13
1070,2005-04-23,Candy Shop,50 Cent Featuring Olivia,12
1071,2005-04-16,Candy Shop,50 Cent Featuring Olivia,11
1072,2005-04-09,Candy Shop,50 Cent Featuring Olivia,10
1073,2005-04-02,Candy Shop,50 Cent Featuring Olivia,9
1074,2005-03-26,Candy Shop,50 Cent Featuring Olivia,8
1075,2005-03-19,Candy Shop,50 Cent Featuring Olivia,7
1076,2005-03-12,Candy Shop,50 Cent Featuring Olivia,6
1077,2005-03-05,Candy Shop,50 Cent Featuring Olivia,5
1078,2005-02-26,Let Me Love You,Mario,19
1079,2005-02-19,Let Me Love You,Mario,18
1080,2005-02-12,Let Me Love You,Mario,17
1081,2005-02-05,Let Me Love You,Mario,16
1082,2005-01-29,Let Me Love You,Mario,15
1083,2005-01-22,Let Me Love You,Mario,14
1084,2005-01-15,Let Me Love You,Mario,13
1085,2005-01-08,Let Me Love You,Mario,12
1086,2005-01-01,Let Me Love You,Mario,11
1087,2004-12-25,Drop It Like It's Hot,Snoop Dogg Featuring Pharrell,13
1088,2004-12-18,Drop It Like It's Hot,Snoop Dogg Featuring Pharrell,12
1089,2004-12-11,Drop It Like It's Hot,Snoop Dogg Featuring Pharrell,11
1090,2004-12-04,My Boo,Usher And Alicia Keys,13
1091,2004-11-27,My Boo,Usher And Alicia Keys,12
1092,2004-11-20,My Boo,Usher And Alicia Keys,11
1093,2004-11-13,My Boo,Usher And Alicia Keys,10
1094,2004-11-06,My Boo,Usher And Alicia Keys,9
1095,2004-10-30,My Boo,Usher And Alicia Keys,8
1096,2004-10-23,Goodies,Ciara Featuring Petey Pablo,18
1097,2004-10-16,Goodies,Ciara Featuring Petey Pablo,17
1098,2004-10-09,Goodies,Ciara Featuring Petey Pablo,16
1099,2004-10-02,Goodies,Ciara Featuring Petey Pablo,15
1100,2004-09-25,Goodies,Ciara Featuring Petey Pablo,14
1101,2004-09-18,Goodies,Ciara Featuring Petey Pablo,13
1102,2004-09-11,Goodies,Ciara Featuring Petey Pablo,12
1103,2004-09-04,Lean Back,Terror Squad,11
1104,2004-08-28,Lean Back,Terror Squad,10
1105,2004-08-21,Lean Back,Terror Squad,9
1106,2004-08-14,Slow Motion,Juvenile Featuring Soulja Slim,16
1107,2004-08-07,Slow Motion,Juvenile Featuring Soulja Slim,15
1108,2004-07-31,Confessions Part II,Usher,14
1109,2004-07-24,Confessions Part II,Usher,13
1110,2004-07-17,Burn,Usher,19
1111,2004-07-10,I Believe,Fantasia,1
1112,2004-07-03,Burn,Usher,17
1113,2004-06-26,Burn,Usher,16
1114,2004-06-19,Burn,Usher,15
1115,2004-06-12,Burn,Usher,14
1116,2004-06-05,Burn,Usher,13
1117,2004-05-29,Burn,Usher,12
1118,2004-05-22,Burn,Usher,11
1119,2004-05-15,Yeah!,Usher Featuring Lil Jon & Ludacris,19
1120,2004-05-08,Yeah!,Usher Featuring Lil Jon & Ludacris,18
1121,2004-05-01,Yeah!,Usher Featuring Lil Jon & Ludacris,17
1122,2004-04-24,Yeah!,Usher Featuring Lil Jon & Ludacris,16
1123,2004-04-17,Yeah!,Usher Featuring Lil Jon & Ludacris,15
1124,2004-04-10,Yeah!,Usher Featuring Lil Jon & Ludacris,14
1125,2004-04-03,Yeah!,Usher Featuring Lil Jon & Ludacris,13
1126,2004-03-27,Yeah!,Usher Featuring Lil Jon & Ludacris,12
1127,2004-03-20,Yeah!,Usher Featuring Lil Jon & Ludacris,11
1128,2004-03-13,Yeah!,Usher Featuring Lil Jon & Ludacris,10
1129,2004-03-06,Yeah!,Usher Featuring Lil Jon & Ludacris,9
1130,2004-02-28,Yeah!,Usher Featuring Lil Jon & Ludacris,8
1131,2004-02-21,Slow Jamz,Twista Featuring Kanye West & Jamie Foxx,12
1132,2004-02-14,The Way You Move,OutKast Featuring Sleepy Brown,21
1133,2004-02-07,Hey Ya!,OutKast,17
1134,2004-01-31,Hey Ya!,OutKast,16
1135,2004-01-24,Hey Ya!,OutKast,15
1136,2004-01-17,Hey Ya!,OutKast,14
1137,2004-01-10,Hey Ya!,OutKast,13
1138,2004-01-03,Hey Ya!,OutKast,12
1139,2003-12-27,Hey Ya!,OutKast,11
1140,2003-12-20,Hey Ya!,OutKast,10
1141,2003-12-13,Hey Ya!,OutKast,9
1142,2003-12-06,Stand Up,Ludacris Featuring Shawnna,14
1143,2003-11-29,Baby Boy,Beyonce Featuring Sean Paul,16
1144,2003-11-22,Baby Boy,Beyonce Featuring Sean Paul,15
1145,2003-11-15,Baby Boy,Beyonce Featuring Sean Paul,14
1146,2003-11-08,Baby Boy,Beyonce Featuring Sean Paul,13
1147,2003-11-01,Baby Boy,Beyonce Featuring Sean Paul,12
1148,2003-10-25,Baby Boy,Beyonce Featuring Sean Paul,11
1149,2003-10-18,Baby Boy,Beyonce Featuring Sean Paul,10
1150,2003-10-11,Baby Boy,Beyonce Featuring Sean Paul,9
1151,2003-10-04,Baby Boy,Beyonce Featuring Sean Paul,8
1152,2003-09-27,Shake Ya Tailfeather,"Nelly, P. Diddy & Murphy Lee",14
1153,2003-09-20,Shake Ya Tailfeather,"Nelly, P. Diddy & Murphy Lee",13
1154,2003-09-13,Shake Ya Tailfeather,"Nelly, P. Diddy & Murphy Lee",12
1155,2003-09-06,Shake Ya Tailfeather,"Nelly, P. Diddy & Murphy Lee",11
1156,2003-08-30,Crazy In Love,Beyonce Featuring Jay Z,15
1157,2003-08-23,Crazy In Love,Beyonce Featuring Jay Z,14
1158,2003-08-16,Crazy In Love,Beyonce Featuring Jay Z,13
1159,2003-08-09,Crazy In Love,Beyonce Featuring Jay Z,12
1160,2003-08-02,Crazy In Love,Beyonce Featuring Jay Z,11
1161,2003-07-26,Crazy In Love,Beyonce Featuring Jay Z,10
1162,2003-07-19,Crazy In Love,Beyonce Featuring Jay Z,9
1163,2003-07-12,Crazy In Love,Beyonce Featuring Jay Z,8
1164,2003-07-05,This Is The Night,Clay Aiken,2
1165,2003-06-28,This Is The Night,Clay Aiken,1
1166,2003-06-21,21 Questions,50 Cent Featuring Nate Dogg,14
1167,2003-06-14,21 Questions,50 Cent Featuring Nate Dogg,13
1168,2003-06-07,21 Questions,50 Cent Featuring Nate Dogg,12
1169,2003-05-31,21 Questions,50 Cent Featuring Nate Dogg,11
1170,2003-05-24,Get Busy,Sean Paul,14
1171,2003-05-17,Get Busy,Sean Paul,13
1172,2003-05-10,Get Busy,Sean Paul,12
1173,2003-05-03,In Da Club,50 Cent,17
1174,2003-04-26,In Da Club,50 Cent,16
1175,2003-04-19,In Da Club,50 Cent,15
1176,2003-04-12,In Da Club,50 Cent,14
1177,2003-04-05,In Da Club,50 Cent,13
1178,2003-03-29,In Da Club,50 Cent,12
1179,2003-03-22,In Da Club,50 Cent,11
1180,2003-03-15,In Da Club,50 Cent,10
1181,2003-03-08,In Da Club,50 Cent,9
1182,2003-03-01,All I Have,Jennifer Lopez Featuring LL Cool J,10
1183,2003-02-22,All I Have,Jennifer Lopez Featuring LL Cool J,9
1184,2003-02-15,All I Have,Jennifer Lopez Featuring LL Cool J,8
1185,2003-02-08,All I Have,Jennifer Lopez Featuring LL Cool J,7
1186,2003-02-01,"Bump, Bump, Bump",B2K & P. Diddy,10
1187,2003-01-25,Lose Yourself,Eminem,17
1188,2003-01-18,Lose Yourself,Eminem,16
1189,2003-01-11,Lose Yourself,Eminem,15
1190,2003-01-04,Lose Yourself,Eminem,14
1191,2002-12-28,Lose Yourself,Eminem,13
1192,2002-12-21,Lose Yourself,Eminem,12
1193,2002-12-14,Lose Yourself,Eminem,11
1194,2002-12-07,Lose Yourself,Eminem,10
1195,2002-11-30,Lose Yourself,Eminem,9
1196,2002-11-23,Lose Yourself,Eminem,8
1197,2002-11-16,Lose Yourself,Eminem,7
1198,2002-11-09,Lose Yourself,Eminem,6
1199,2002-11-02,Dilemma,Nelly Featuring Kelly Rowland,17
1200,2002-10-26,Dilemma,Nelly Featuring Kelly Rowland,16
1201,2002-10-19,Dilemma,Nelly Featuring Kelly Rowland,15
1202,2002-10-12,A Moment Like This,Kelly Clarkson,4
1203,2002-10-05,A Moment Like This,Kelly Clarkson,3
1204,2002-09-28,Dilemma,Nelly Featuring Kelly Rowland,12
1205,2002-09-21,Dilemma,Nelly Featuring Kelly Rowland,11
1206,2002-09-14,Dilemma,Nelly Featuring Kelly Rowland,10
1207,2002-09-07,Dilemma,Nelly Featuring Kelly Rowland,9
1208,2002-08-31,Dilemma,Nelly Featuring Kelly Rowland,8
1209,2002-08-24,Dilemma,Nelly Featuring Kelly Rowland,7
1210,2002-08-17,Dilemma,Nelly Featuring Kelly Rowland,6
1211,2002-08-10,Hot In Herre,Nelly,15
1212,2002-08-03,Hot In Herre,Nelly,14
1213,2002-07-27,Hot In Herre,Nelly,13
1214,2002-07-20,Hot In Herre,Nelly,12
1215,2002-07-13,Hot In Herre,Nelly,11
1216,2002-07-06,Hot In Herre,Nelly,10
1217,2002-06-29,Hot In Herre,Nelly,9
1218,2002-06-22,Foolish,Ashanti,19
1219,2002-06-15,Foolish,Ashanti,18
1220,2002-06-08,Foolish,Ashanti,17
1221,2002-06-01,Foolish,Ashanti,16
1222,2002-05-25,Foolish,Ashanti,15
1223,2002-05-18,Foolish,Ashanti,14
1224,2002-05-11,Foolish,Ashanti,13
1225,2002-05-04,Foolish,Ashanti,12
1226,2002-04-27,Foolish,Ashanti,11
1227,2002-04-20,Foolish,Ashanti,10
1228,2002-04-13,Ain't It Funny,Jennifer Lopez Featuring Ja Rule,16
1229,2002-04-06,Ain't It Funny,Jennifer Lopez Featuring Ja Rule,15
1230,2002-03-30,Ain't It Funny,Jennifer Lopez Featuring Ja Rule,14
1231,2002-03-23,Ain't It Funny,Jennifer Lopez Featuring Ja Rule,13
1232,2002-03-16,Ain't It Funny,Jennifer Lopez Featuring Ja Rule,12
1233,2002-03-09,Ain't It Funny,Jennifer Lopez Featuring Ja Rule,11
1234,2002-03-02,Always On Time,Ja Rule Featuring Ashanti,16
1235,2002-02-23,Always On Time,Ja Rule Featuring Ashanti,15
1236,2002-02-16,U Got It Bad,Usher,22
1237,2002-02-09,U Got It Bad,Usher,21
1238,2002-02-02,U Got It Bad,Usher,20
1239,2002-01-26,U Got It Bad,Usher,19
1240,2002-01-19,U Got It Bad,Usher,18
1241,2002-01-12,How You Remind Me,Nickelback,19
1242,2002-01-05,How You Remind Me,Nickelback,18
1243,2001-12-29,How You Remind Me,Nickelback,17
1244,2001-12-22,How You Remind Me,Nickelback,16
1245,2001-12-15,U Got It Bad,Usher,13
1246,2001-12-08,Family Affair,Mary J. Blige,20
1247,2001-12-01,Family Affair,Mary J. Blige,19
